Time,aX,aY,aZ,gX,gY,gZ,Prs,mX,mY,mZ,state
1.545,-0.219238,-0.10498,5.736328,-26.71285995,-14.26888897,-55.34922555,100446.9971,0.078704,0.106067,0.624596,1
1.555,-0.25,-0.039551,5.710938,-26.77383595,-14.57376697,-55.16629855,100446.9971,0.07777,0.103884,0.628082,1
1.565,-0.262207,-0.034668,5.654297,-26.40798395,-14.57376697,-55.04434655,100434.9976,0.074563,0.110145,0.627197,1
1.575,-0.263672,-0.014648,5.597168,-25.92017795,-14.87864497,-54.86142055,100422.998,0.069392,0.116433,0.624986,1
1.585,-0.26709,0.067871,5.553711,-25.31042095,-14.63474197,-54.67849455,100409.9976,0.089093,0.108534,0.620341,1
1.595,-0.283691,0.112793,5.51123,-25.06651895,-14.51279097,-54.55654255,100385.9985,0.070638,0.119412,0.621878,1
1.605,-0.317871,0.101562,5.485352,-24.45676395,-14.51279097,-54.49556855,100372.998,0.062177,0.123945,0.623364,1
1.615,-0.352051,0.109863,5.432129,-23.60310595,-14.32986497,-54.49556855,100360.9985,0.064391,0.124735,0.628641,1
1.625,-0.359863,0.1875,5.396973,-22.50554495,-13.96401097,-54.73946855,100348.999,0.060887,0.125199,0.624889,1
1.635,-0.379883,0.226562,5.367676,-21.59090995,-13.59815697,-54.98337255,100336.9995,0.073576,0.127776,0.61451,1
1.645,-0.395508,0.255371,5.320312,-20.92017795,-13.29327897,-55.16629855,100345.0012,0.059945,0.133095,0.623863,1
1.655,-0.418945,0.261719,5.276855,-19.76164095,-12.56157197,-55.59312955,100311.9995,0.053901,0.134091,0.627466,1
1.665,-0.470215,0.286621,5.277344,-18.48115395,-12.31766897,-55.65410355,100296.0022,0.052519,0.141192,0.625198,1
1.675,-0.469238,0.32959,5.22998,-17.32261695,-12.01279097,-56.08093355,100286.9995,0.052011,0.140415,0.627034,1
1.685,-0.475098,0.378906,5.196777,-16.22505595,-11.09815697,-56.38581155,100278.9978,0.063651,0.136822,0.619505,1
1.695,-0.50293,0.368652,5.153809,-14.94456795,-10.30547497,-56.81263855,100246.0022,0.045116,0.14664,0.620112,1
1.705,-0.511719,0.387695,5.124023,-13.72505595,-10.00059697,-56.93459055,100238.0005,0.043347,0.148498,0.625761,1
1.715,-0.519043,0.407227,5.081543,-12.01773795,-8.90303597,-57.30044655,100238.0005,0.043103,0.145145,0.626049,1
1.725,-0.552734,0.422852,5.055176,-10.73725095,-7.98840097,-57.66629855,100214.0015,0.039575,0.151853,0.624175,1
1.735,-0.569824,0.419434,5.009277,-9.151884955,-6.95181597,-57.91019955,100192.9993,0.051523,0.149056,0.616778,1
1.745,-0.578613,0.450684,4.975586,-7.627494955,-5.91522997,-58.39800755,100184.9976,0.037927,0.149552,0.621673,1
1.755,-0.587402,0.470703,4.964355,-6.164079955,-4.87864497,-58.64190755,100177.002,0.032955,0.153851,0.622844,1
1.765,-0.615723,0.456543,4.938477,-4.761640955,-4.08596197,-58.70288555,100164.0015,0.030183,0.157167,0.623123,1
1.775,-0.598633,0.452148,4.90625,-3.115298955,-2.74449897,-59.06873755,100152.002,0.030781,0.152666,0.626623,1
1.786,-0.619629,0.443359,4.858398,-1.103103955,-1.40303497,-59.06873755,100144.0002,0.043339,0.154439,0.616485,1
1.796,-0.595703,0.431152,4.834473,0.482261045,-0.12254697,-59.37361655,100115.0024,0.029255,0.155898,0.622178,1
1.806,-0.59375,0.409668,4.807617,1.640798045,0.85306203,-59.73946855,100098.999,0.027193,0.155212,0.627316,1
